id,timestamp,trace_string
0,1646272486,"traceroute to amazon.com (205.251.242.103), 30 hops max, 60 byte packets"
0,1646272486, 1  StarlinkRouter.lan (192.168.1.1)  0.851 ms  0.620 ms  0.779 ms
0,1646272486, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  31.758 ms  39.902 ms  39.442 ms
0,1646272486, 3  * * *
0,1646272486, 4  * * *
0,1646272486, 5  * * *
0,1646272486, 6  * * *
0,1646272486, 7  * * *
0,1646272486, 8  * * *
0,1646272486, 9  * * *
0,1646272486,10  * * *
0,1646272486,11  * * *
0,1646272486,12  * * *
0,1646272486,13  * * *
0,1646272486,14  * * *
0,1646272486,15  * * *
0,1646272486,16  * * *
0,1646272486,17  * * *
0,1646272486,18  * * *
0,1646272486,19  * * *
0,1646272486,20  * * *
0,1646272486,21  * * *
0,1646272486,22  * * *
0,1646272486,23  * * *
0,1646272486,24  * * *
0,1646272486,25  * * *
0,1646272486,26  * * *
0,1646272486,27  * * *
0,1646272486,28  * * *
0,1646272486,29  * * *
0,1646272486,30  * * *
1,1646301786,"traceroute to amazon.com (176.32.103.205), 30 hops max, 60 byte packets"
1,1646301786, 1  StarlinkRouter.lan (192.168.1.1)  0.734 ms  0.561 ms  0.549 ms
1,1646301786, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  36.522 ms  36.550 ms  36.439 ms
1,1646301786, 3  * * *
1,1646301786, 4  * * *
1,1646301786, 5  * * *
1,1646301786, 6  * * *
1,1646301786, 7  * * *
1,1646301786, 8  * * *
1,1646301786, 9  * * *
1,1646301786,10  * * *
1,1646301786,11  * * *
1,1646301786,12  * * *
1,1646301786,13  * * *
1,1646301786,14  * * *
1,1646301786,15  * * *
1,1646301786,16  * * *
1,1646301786,17  * * *
1,1646301786,18  * * *
1,1646301786,19  * * *
1,1646301786,20  * * *
1,1646301786,21  * * *
1,1646301786,22  * * *
1,1646301786,23  * * *
1,1646301786,24  * * *
1,1646301786,25  * * *
1,1646301786,26  * * *
1,1646301786,27  * * *
1,1646301786,28  * * *
1,1646301786,29  * * *
1,1646301786,30  * * *
2,1646388195,"traceroute to amazon.com (205.251.242.103), 30 hops max, 60 byte packets"
2,1646388195, 1  StarlinkRouter.lan (192.168.1.1)  0.729 ms  0.559 ms *
2,1646388195, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  48.484 ms  56.268 ms  40.294 ms
2,1646388195, 3  * * *
2,1646388195, 4  * * *
2,1646388195, 5  * * *
2,1646388195, 6  * * *
2,1646388195, 7  * * *
2,1646388195, 8  * * *
2,1646388195, 9  * * *
2,1646388195,10  * * *
2,1646388195,11  * * *
2,1646388195,12  * * *
2,1646388195,13  * * *
2,1646388195,14  * * *
2,1646388195,15  * * *
2,1646388195,16  * * *
2,1646388195,17  * * *
2,1646388195,18  * * *
2,1646388195,19  * * *
2,1646388195,20  * * *
2,1646388195,21  * * *
2,1646388195,22  * * *
2,1646388195,23  * * *
2,1646388195,24  * * *
2,1646388195,25  * * *
2,1646388195,26  * * *
2,1646388195,27  * * *
2,1646388195,28  * * *
2,1646388195,29  * * *
2,1646388195,30  * * *
3,1646474614,"traceroute to amazon.com (54.239.28.85), 30 hops max, 60 byte packets"
3,1646474614, 1  StarlinkRouter.lan (192.168.1.1)  0.698 ms  0.715 ms  0.508 ms
3,1646474614, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  28.816 ms  28.983 ms  28.547 ms
3,1646474614, 3  * * *
3,1646474614, 4  * * *
3,1646474614, 5  * * *
3,1646474614, 6  * * *
3,1646474614, 7  * * *
3,1646474614, 8  * * *
3,1646474614, 9  * * *
3,1646474614,10  * * *
3,1646474614,11  * * *
3,1646474614,12  * * *
3,1646474614,13  * * *
3,1646474614,14  * * *
3,1646474614,15  * * *
3,1646474614,16  * * *
3,1646474614,17  * * *
3,1646474614,18  * * *
3,1646474614,19  * * *
3,1646474614,20  * * *
3,1646474614,21  * * *
3,1646474614,22  * * *
3,1646474614,23  * * *
